stock,date,open,high,low,close,volume
TRV,23/7/2018,124.0544,124.0544,122.1079,122.76,1654698
TRV,24/7/2018,123.2541,123.8963,122.4636,123.2639,1898962
TRV,25/7/2018,123.2837,124.9239,122.5031,124.7757,2314977
TRV,26/7/2018,125.7342,128.57,124.9867,127.9475,2253604
TRV,27/7/2018,128.3921,130.062,128.1649,129.1727,1966766
TRV,30/7/2018,128.9652,130.4029,128.5798,129.5383,1487663
TRV,31/7/2018,129.7161,129.8545,128.2241,128.5897,1679266
TRV,1/8/2018,128.481,128.896,127.3744,127.4238,1388477
TRV,2/8/2018,126.5345,127.325,125.4871,126.8013,1778636
TRV,3/8/2018,126.6136,128.155,126.2084,128.155,1882815
TRV,6/8/2018,128.1747,128.9652,128.0562,128.4514,1544120
TRV,7/8/2018,128.9553,129.5679,128.234,128.3921,817521
TRV,8/8/2018,128.3229,128.3229,127.572,127.6708,1430674
TRV,9/8/2018,127.5621,128.57,127.078,128.0166,859253
TRV,10/8/2018,127.1965,127.6214,126.0899,127.3349,957750
TRV,13/8/2018,127.157,127.8125,126.0899,126.5246,1209842
TRV,14/8/2018,126.4357,126.4653,125.1709,126.0207,1143824
TRV,15/8/2018,125.6057,127.5522,125.4081,127.236,1261555
TRV,16/8/2018,127.7202,129.4049,127.6057,128.7873,1324462
TRV,17/8/2018,128.6194,129.2517,128.066,128.8664,1664327
TRV,20/8/2018,129.1925,130.0719,128.9454,129.8545,1146993
TRV,21/8/2018,129.6569,130.6845,129.3703,130.141,1267363
TRV,22/8/2018,130.309,130.309,127.7202,127.8684,1083857
TRV,23/8/2018,127.9574,128.3229,127.404,127.9771,1115446
TRV,24/8/2018,128.5107,129.1233,128.3032,128.9553,1180305
TRV,27/8/2018,130.2398,130.7536,129.7754,130.3189,1277675
TRV,28/8/2018,130.477,131.1884,130.477,130.7042,1055959
TRV,29/8/2018,131.0007,131.6637,130.3683,131.0797,1024566
TRV,30/8/2018,130.971,131.0599,129.5383,130.0817,1262069
TRV,31/8/2018,129.8545,130.1509,129.1134,130.0323,1002881
TRV,4/9/2018,130.141,130.6647,129.4494,130.556,973903
TRV,5/9/2018,130.4473,131.722,130.4473,131.0105,1209475
TRV,6/9/2018,130.8524,131.8109,130.5165,130.9908,1274160
TRV,7/9/2018,130.7323,131.2988,129.172,129.2912,1300171
TRV,10/9/2018,128.5955,128.7546,126.1506,126.8165,1840776
TRV,11/9/2018,125.7432,127.5222,124.9381,127.065,1797064
TRV,12/9/2018,127.0849,127.4129,125.5245,126.1109,1750407
TRV,13/9/2018,127.711,128.6154,126.9537,128.039,1413372
TRV,14/9/2018,128.2079,129.3211,127.8899,129.2117,1194730
TRV,17/9/2018,129.4204,129.7981,128.7943,129.0925,996190
TRV,18/9/2018,129.2018,130.9311,128.709,130.5634,1473585
TRV,19/9/2018,130.8615,132.6803,130.5653,131.6865,1470874
TRV,20/9/2018,132.5114,133.7835,132.2828,133.3263,1635721
TRV,21/9/2018,133.6344,133.6841,132.3722,133.6145,2738460
TRV,24/9/2018,133.6145,133.6145,131.9051,132.0144,1055682
TRV,25/9/2018,132.2828,132.2828,130.3348,130.4839,844487
TRV,26/9/2018,130.9311,130.9311,128.4067,128.7049,1317113
TRV,27/9/2018,128.5955,129.1322,127.6812,128.3272,836456
TRV,28/9/2018,127.9197,129.1223,127.4327,128.9136,1452896
TRV,1/10/2018,129.2018,129.8379,127.8402,128.1781,1363676
TRV,2/10/2018,127.8998,128.8043,127.4526,128.7148,1311101
TRV,3/10/2018,129.3708,129.5397,128.2775,128.7446,1547225
TRV,4/10/2018,129.0825,130.0714,128.7546,129.9869,1242661
TRV,5/10/2018,129.3807,130.6329,129.0328,129.331,870499
TRV,8/10/2018,129.2117,131.6566,129.1223,130.8516,986765
TRV,9/10/2018,130.7323,131.2144,129.5198,130.782,865220
TRV,10/10/2018,130.1062,130.792,127.224,127.383,1656660
TRV,11/10/2018,127.1942,127.2141,122.8312,123.5467,2438597
TRV,12/10/2018,123.497,124.3319,120.7192,122.8908,2327414
TRV,15/10/2018,122.5827,123.9343,122.2647,122.6324,1305179
TRV,16/10/2018,123.0597,124.0834,122.5827,123.984,1232649
TRV,17/10/2018,124.0039,126.4091,123.8126,125.6637,2106879
TRV,18/10/2018,125.8426,126.5184,122.9405,124.3716,2818910
TRV,19/10/2018,123.5666,126.0115,123.2486,125.2959,2044573
TRV,22/10/2018,125.127,125.8674,123.2188,123.3082,1413487
TRV,23/10/2018,121.7478,123.8151,121.5491,123.0399,2000962
TRV,24/10/2018,122.7119,122.9252,120.5552,120.8136,2291794
TRV,25/10/2018,121.2211,121.5193,119.6309,120.4956,2318058
TRV,26/10/2018,120.2769,121.3602,118.9303,120.5453,3574598
TRV,29/10/2018,122.0659,123.7356,120.8434,121.569,2322958
TRV,30/10/2018,122.215,125.2363,121.3404,125.0972,2217034
TRV,31/10/2018,125.445,126.1805,124.2623,124.3617,2161744
TRV,1/11/2018,124.2126,124.5704,123.2585,124.4313,1319960
TRV,2/11/2018,125.9221,126.1506,123.1989,124.1331,1637027
TRV,5/11/2018,124.3915,126.5979,124.3915,125.7531,1098194
TRV,6/11/2018,125.4649,127.87,125.3556,127.8104,1586639
TRV,7/11/2018,128.3272,129.5695,127.4327,129.4801,1452385
TRV,8/11/2018,129.2515,130.7025,129.1819,130.1857,1879385
TRV,9/11/2018,130.3348,131.0007,129.4801,130.2255,1379390
TRV,12/11/2018,129.5,129.9969,126.0513,126.26,1794510
TRV,13/11/2018,126.101,127.4824,125.6537,126.0314,1419931
TRV,14/11/2018,126.3693,126.7172,121.4795,122.2845,3153407
TRV,15/11/2018,121.728,124.8388,120.6546,124.8189,2409278
TRV,16/11/2018,124.2126,127.9992,123.9443,127.9794,2734079
TRV,19/11/2018,128.1384,129.7683,127.8104,129.7186,2118142
TRV,20/11/2018,130.146,130.295,127.4725,127.5818,1893595
TRV,21/11/2018,127.3135,128.7446,126.5283,126.9756,1503249
TRV,23/11/2018,126.6575,126.8662,125.5841,125.8227,405778
TRV,26/11/2018,126.896,129.5397,126.3991,129.5397,1850324
TRV,27/11/2018,129.0627,129.7683,127.5222,128.8142,1274182
TRV,28/11/2018,128.7247,130.1857,127.9297,129.8975,1579399
TRV,29/11/2018,129.2515,130.4044,128.4763,129.8279,1620642
TRV,30/11/2018,129.5894,130.141,127.9148,129.5695,2142697
TRV,3/12/2018,129.7683,130.1162,126.8265,129.3111,1597320
TRV,4/12/2018,129.4204,129.7186,125.3208,125.9121,2141238
TRV,6/12/2018,124.7195,125.6537,121.0025,124.64,2775867
TRV,7/12/2018,124.64,126.19,122.8708,123.56,1679622
TRV,10/12/2018,123.45,123.56,120.5,123,1534062
TRV,11/12/2018,123.68,124.42,120.45,120.97,1877235
TRV,12/12/2018,122.21,123.29,121.03,122.01,1703245
TRV,13/12/2018,122.03,122.61,120.72,121.5,1282355
TRV,14/12/2018,120.33,121.4541,119.95,120.55,2097783
TRV,17/12/2018,120.72,121.79,119.5,119.93,1829374
TRV,18/12/2018,120.41,121.07,118.42,119.3,1695152
TRV,19/12/2018,119.61,121.68,118.22,119.16,1829585
TRV,20/12/2018,118.5,119.44,116.93,117.32,2621915
TRV,21/12/2018,117.79,120.31,116.02,116.06,4523628
TRV,24/12/2018,115.41,115.87,112.6,112.63,1344681
TRV,26/12/2018,112.5,117.17,111.08,117.17,1931443
TRV,27/12/2018,115.75,118.71,114.66,118.67,1807354
TRV,28/12/2018,119.15,119.76,117.78,118.24,1386712
